Rank,Name,Industry,Revenue (USD million),Revenue growth,Employees,Headquarters
358,Berry Global,Packaging,8878,12.8%,48000,"Evansville, Indiana"
359,Anixter,Distribution,8846,5.3%,9400,"Glenview, IL"
360,Alaska Air Group,Airlines,8781,6.3%,24134,"SeaTac, Washington"
361,Yum China,Food chain,8776,4.3%,450500,"Plano, Texas"
362,Dick's Sporting Goods,Retail,8751,3.7%,28450,"Coraopolis, Pennsylvania"
363,Caesars Entertainment,Casinos and Resorts,8742,4.2%,64000,"Reno, Nevada"
364,Genworth Financial,Financials,8681,3.0%,3100,"Richmond, Virginia"
365,Targa Resources,Petroleum industry,8671,17.3%,2680,"Houston, Texas"
366,"Coty, Inc.",Cosmetics,8649,8.0%,19000,"New York City, New York"
367,Dana Incorporated,Automotive,8620,5.9%,36300,"Maumee, Ohio"
368,Thrivent Financial,Insurance,8612,0.3%,3235,"Minneapolis, Minnesota"
369,Autoliv,Automotive,8548,12.8%,61957,"Auburn Hills, Michigan"
370,SpartanNash,Food distribution,8536,5.8%,13800,"Byron Center, Michigan"
371,Eversource Energy,Electric Utility,8527,0.9%,8234,"Boston, Massachusetts"
372,Darden Restaurants,Restaurants,8510,5.3%,184514,"Orlando, Florida,"
373,Chesapeake Energy,Petroleum industry,8489,17.0%,2300,"Oklahoma City, Oklahoma"
374,NOV Inc.,Petroleum industry,8479,0.3%,34645,"Houston, Texas"
375,Fidelity National Financial,Financials,8469,11.5%,23484,"Jacksonville, Florida"
376,Erie Insurance Group,Insurance,8443,5.1%,5778,"Erie, Pennsylvania"
377,Oshkosh Corporation,Automotive,8382,8.8%,15400,"Oshkosh, Wisconsin"
378,Casey's General Stores,Retail,8365,11.9%,26866,"Ankeny, Iowa"
379,WESCO International,Distribution,8359,2.2%,9500,"Pittsburgh, Pennsylvania"
380,Tractor Supply Company,Retail,8352,5.6%,24000,"Brentwood, Tennessee"
381,CommScope,Telecommunications,8345,82.7%,30000,"Hickory, North Carolina"
382,Huntsman Corporation,Chemical industry,8342,27.6%,10000,"The Woodlands, Texas"
383,American Financial Group,Financials,8237,15.2%,7700,"Cincinnati, Ohio"
384,Masco,Distribution,8235,1.5%,22000,"Livonia, Michigan"
385,Sanmina Corporation,Electronic manufacturing service,8234,15.8%,38500,"San Jose, California"
386,Amphenol,Cables manufacturing,8225,0.3%,74000,"Wallingford, Connecticut"
387,Williams Companies,Petroleum industry,8201,5.6%,4812,"Tulsa, Oklahoma"
388,Westinghouse Air Brake Company,Machinery,8200,87.9%,27500,"Pittsburgh, Pennsylvania"
389,Expeditors International,Transportation,8175,0.5%,18000,"Seattle, Washington"
390,The Andersons,Food production,8170,168.3%,2284,"Maumee, Ohio"
391,Westlake Chemical,Chemical industry,8118,6.0%,9430,"Houston, Texas"
392,Constellation Brands,Beverages,8116,7.0%,9800,"Victor, New York"
393,Frontier Communications,Telecommunications,8107,5.9%,18317,"Norwalk, Connecticut"
394,JetBlue,Airlines,8094,5.7%,19032,"New York City, New York"
395,Citizens Financial Group,Financials,8066,9.7%,17997,"Providence, Rhode Island,"
396,Raymond James Financial,Financials,8023,7.3%,14200,"St. Petersburg, Florida"
397,Foot Locker,Sports retailer,8005,0.8%,33294,"New York City, New York"
398,The Hershey Company,Food processing,7986,2.5%,15330,"Hershey, Pennsylvania"
399,Zimmer Biomet,Manufacturing,7982,0.6%,19900,"Warsaw, Indiana,"
400,Cincinnati Financial,Financials,7924,46.5%,5200,"Cincinnati, Ohio"
401,Western & Southern Financial Group,Insurance,7921,9.9%,2787,"Cincinnati, Ohio"
402,W. R. Berkley,Insurance,7902,2.7%,7493,"Greenwich, Connecticut"
403,Motorola Solutions,Manufacturing,7887,7.4%,17000,"Chicago, Illinois"
404,Thor Industries,Manufacturing,7865,5.6%,21750,"Elkhart, Indiana,"
405,Regeneron Pharmaceuticals,Pharmaceutical industry,7863,12.7%,8100,"Victor, New York"
406,Spirit AeroSystems,Aerospace,7863,8.9%,18200,"Wichita, Kansas,"
407,The J.M. Smucker Company,Food processing,7838,6.5%,7400,"Orrville, Ohio"
408,PPL Corporation,Electric utility,7769,0.2%,12280,"Allentown, Pennsylvania"
409,Insight Enterprises,Information technology,7731,9.2%,11261,"Tempe, Arizona"
410,Quest Diagnostics,Diagnostics,7726,2.6%,47000,"Secaucus, New Jersey"
411,KeyBank,Banking,7694,4.1%,17045,"Cleveland, Ohio"
412,Veritiv,Paper and Packaging,7659,11.9%,8000,"Atlanta, Georgia"
413,DCP Midstream Partners,Petroleum industry,7625,22.4%,2250,"Denver, Colorado"
414,American Tower,Communications,7580,1.9%,5454,"Boston, Massachusetts"
415,Graybar,Electrical equipment,7524,4.5%,9000,"Clayton, Missouri"
416,WEC Energy Group,Electric Utility,7523,2.0%,7509,"Milwaukee, Wisconsin"
417,"NVR, Inc.",Construction,7428,3.3%,5700,"Irvine, California"
418,Ulta Beauty,Cosmetics,7398,10.1%,31000,"Bolingbrook, Illinois"
419,Devon Energy,Petroleum industry,7372,31.3%,1800,Oklahoma City
420,The Blackstone Group,Financials,7338,7.4%,2905,"New York City, New York"
421,Dean Foods,Food Processing,7329,5.5%,14500,"Dallas, Texas,"
422,Fortive,Machinery,7326,1.7%,25000,"Everett, Washington"
423,UGI Corporation,Energy,7320,4.3%,12800,"King of Prussia, Pennsylvania"
424,Burlington,Retail,7286,9.3%,47000,"Burlington, New Jersey"
425,Builders FirstSource,Building materials,7280,5.8%,15800,"Dallas, Texas,"
426,Toll Brothers,Construction,7224,1.1%,5100,"Horsham, Pennsylvania"
427,Old Republic International,Insurance,7214,19.8%,9000,"Chicago, Illinois"
428,Asbury Automotive Group,Auto retailer,7210,4.9%,8500,"Duluth, Georgia"
429,Arthur J. Gallagher & Co.,Insurance,7195,3.8%,33247,"Meadows, Illinois"
430,MasTec,Engineering construction,7183,4.0%,21000,"Coral Gables, Florida"
431,Owens Corning,Manufacturing,7160,1.5%,19000,"Toledo, Ohio"
432,Magellan Health,Healthcare,7159,2.1%,10100,"Phoenix, Arizona"
433,Dover Corporation,Manufacturing,7136,3.5%,24000,"Chicago, Illinois"
434,Beacon Building Products,Building materials,7105,10.7%,8147,"Herndon, Virginia,"
435,Avery Dennison,Packaging,7070,1.2%,30000,"Glendale, California"
436,Hanesbrands,Clothing,6967,2.4%,63000,"Winston-Salem, North Carolina"
437,Packaging Corporation of America,Manufacturing,6964,0.7%,15500,"Chicago, Illinois"
438,M&T Bank,Financials,6941,7.5%,17386,"Buffalo, New York"
439,NCR Corporation,Technology,6915,8.0%,36000,"Atlanta, Georgia"
440,Northern Trust,Financials,6895,3.5%,19800,"Chicago, Illinois"
441,Cintas,Manufacturing service,6892,6.2%,45000,"Cincinnati, Ohio"
442,Polaris Inc.,Manufacturing,6863,11.3%,14000,"Medina, Minnesota"
443,CMS Energy,Electric Utility,6845,0.4%,8459,"Jackson, Michigan"
444,Seaboard Corporation,Food production,6840,3.9%,13100,"Merriam, Kansas"
445,Intuit,Technology,6784,13.7%,9400,"Mountain View, California"
446,Regions Financial Corporation,Financials,6755,0.1%,19564,"Birmingham, Alabama"
447,FM Global,Insurance,6743,24.2%,5591,"Johnston, Rhode Island"
448,Advanced Micro Devices,Semiconductor,6731,4.0%,11400,"Santa Clara, California"
449,Ovintiv,Petroleum industry,6726,13.3%,2571,"Denver, Colorado"
450,Booz Allen Hamilton,Information technology,6704,8.6%,26100,"McLean, Virginia"
451,S&P Global,Financials,6699,7.0%,22500,"New York City, New York"
452,Rockwell Automation,Electrical equipment,6695,0.4%,23000,"Milwaukee, Wisconsin"
453,O-I Glass,Manufacturing,6691,2.7%,27500,"Perrysburg, Ohio"
454,Wynn Resorts,Hospitality,6611,1.6%,30200,"Paradise, Nevada"
455,Securian Financial Group,Insurance,6601,20.1%,6400,"Minneapolis, Minnesota"
456,Alliance Data,Technology,6581,15.5%,8500,"Columbus, Ohio"
457,Brighthouse Financial,Financials,6554,26.9%,1330,"Charlotte, North Carolina"
457,Weyerhaeuser,Forest and Paper Products,6554,12.3%,9400,"Seattle, Washington"
459,Intercontinental Exchange,Financial,6547,4.3%,5989,"Atlanta, Georgia"
460,American Axle,Automotive,6531,10.2%,20000,"Detroit, Michigan"
461,Hess Corporation,Petroleum industry,6510,0.7%,1775,"New York City, New York"
462,ABM Industries,Facility Services,6499,0.9%,140000,"New York City, New York"
463,Activision Blizzard,Video games,6489,13.5%,9200,"Santa Monica, California"
464,GameStop,Retail,6466,26.9%,30000,"Dallas, Texas,"
465,APA Corporation,Petroleum industry,6411,13.6%,3163,"Houston, Texas"
466,Science Applications International Corporation,Information Technology Services,6379,36.9%,24311,"Reston, Virginia"
467,AK Steel Holding,Metals,6359,6.7%,9300,"West Chester, Ohio"
468,Dillard's,Retail,6343,2.5%,30400,"Little Rock, Arkansas"
469,Ralph Lauren Corporation,Fashion,6313,2.1%,18650,"New York City, New York"
470,Celanese,Chemical industry,6297,12.0%,7714,"Irving, Texas"
471,RR Donnelley,Printing,6276,7.7%,36400,"Chicago, Illinois"
472,Zoetis,Pharmaceutical industry,6260,7.5%,10600,"Parsippany, New Jersey"
473,Ascena Retail Group,Retail,6243,5.1%,33000,"Mahwah, New Jersey"
474,Clorox,Household products,6214,1.5%,8800,"Oakland, California"
475,Ingredion,Food Processing,6209,6.3%,11000,"Westchester, Illinois"
476,First American Financial,Insurance,6202,7.9%,18412,"Santa Ana, California"
477,Graphic Packaging,Packaging,6160,2.3%,18000,Atlanta Georgia
478,HD Supply,Retail,6146,1.6%,11500,Atlanta Georgia
479,NetApp,Technology,6146,4.0%,10500,"Sunnyvale, California"
480,TravelCenters of America,Retail,6117,12.3%,18594,"Westlake, Ohio"
481,Olin Corporation,Chemical industry,6110,12.0%,6500,"Clayton, Missouri"
482,Robert Half International,Professional services,6074,4.7%,16000,"Menlo Park, California"
483,EnLink Midstream,Pipelines,6053,21.4%,1355,"Dallas, Texas"
484,Avantor,Manufacturing,6040,3.0%,12000,"Radnor, Pennsylvania"
485,"Tapestry, Inc.",Apparel,6027,2.5%,17400,"New York City, New York"
486,TD Ameritrade,Online broker,6016,10.3%,9226,"Omaha, Nebraska"
487,Analog Devices,Manufacturing,5991,3.4%,16400,"Greeley, Colorado"
488,Ameren,Electric utility,5910,6.1%,9323,"St. Louis, Missouri"
489,"Williams-Sonoma, Inc.",Retail,5898,4.0%,19300,"San Francisco, California"
490,Realogy,Real estate,5870,3.4%,10150,"Madison, New Jersey"
491,Commercial Metals Company,Metals,5829,17.8%,11524,"Irving, Texas"
492,Rush Enterprises,Auto retailer,5810,5.5%,7244,"New Braunfels, Texas"
493,Franklin Templeton Investments,Financials,5775,8.6%,9597,"San Mateo, California"
494,Fortune Brands Home & Security,Manufacturing,5765,5.1%,24700,"Deerfield, Illinois"
495,Levi Strauss & Co.,Apparel,5763,3.4%,15800,"San Francisco, California"
496,Crown Castle,Real estate,5763,7.3%,5100,"Houston, Texas"
497,Simon Property Group,Real estate,5755,1.7%,3750,"Indianapolis, Indiana"
498,Cerner,Healthcare,5693,6.1%,27400,"North Kansas City, Missouri"
499,Post Holdings,Food processing,5681,9.2%,10100,"St. Louis, Missouri"
500,Huntington Bancshares,Financials,5655,7.3%,15664,"Columbus, Ohio"
501,Quanta Computer,Technology,N/A,N/A,N/A,"Guishan District, Taiwan"
502,Colonial Pipeline Company,Pipelines,N/A,N/A,N/A,"Alpharetta, Georgia"
503,ExaGrid,Technology,N/A,N/A,N/A,"Westborough, Massachusetts"
504,Applus Technologies,Technology,N/A,N/A,N/A,"Chicago, Illinois"
505,Buffalo Public Schools,Education,N/A,N/A,N/A,"Buffalo, New York"
506,CNA,Finance,N/A,N/A,N/A,"Chicago, Illinois"
507,Acer,Technology,N/A,N/A,N/A,"New Taipei City, Taiwan"
508,AXA,Insurance,N/A,N/A,N/A,"Paris, France"
509,JBS USA,Food processing,N/A,N/A,N/A,"Greeley, Colorado"
